chrom,chromStart,chromEnd,score,strand,position,543_A03,543_A06,543_A07,543_A08,543_A09,543_A10,name
5,112043218,112051904,500,-,30,44,60,131,48,62,48,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,31,45,60,131,48,62,50,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,32,45,60,133,48,62,50,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,33,46,63,132,48,63,50,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,34,47,65,132,48,63,49,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,35,49,65,131,45,63,50,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,36,47,65,133,47,63,51,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,37,51,64,136,48,64,54,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,38,51,63,141,49,66,54,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,39,57,64,152,49,66,55,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,40,58,64,155,49,67,57,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,41,61,64,155,49,68,57,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,42,61,64,154,53,68,61,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,43,62,64,153,55,66,62,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,44,63,63,155,56,69,62,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,45,63,66,160,58,70,62,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,46,64,67,161,61,68,62,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,47,64,70,163,62,71,67,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,48,65,71,164,64,73,67,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,49,65,71,164,63,77,65,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,50,66,71,164,64,77,66,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,51,65,71,163,67,79,68,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,52,65,71,165,67,79,68,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,53,65,70,168,67,78,68,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,54,65,71,168,68,80,69,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,55,66,70,170,68,81,69,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,56,66,69,173,66,81,69,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,57,70,70,178,68,81,69,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,58,68,72,178,67,84,74,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,59,69,73,184,68,85,75,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,60,69,72,183,68,87,76,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,61,69,73,181,68,87,77,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,62,69,73,190,68,90,81,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,63,69,74,197,70,93,83,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,64,70,73,198,72,96,85,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,65,70,76,200,71,98,85,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,66,70,76,199,73,98,85,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,67,71,79,200,75,98,85,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,68,65,80,204,75,99,86,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,69,65,82,210,77,100,86,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,70,65,85,212,77,102,86,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,71,65,86,211,77,104,89,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,72,67,86,213,77,104,92,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,73,68,85,210,77,104,95,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,74,68,86,211,81,105,95,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,75,68,89,214,86,104,95,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,76,71,90,218,86,108,99,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,77,73,92,219,88,109,99,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,78,74,88,217,91,109,98,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,79,74,88,214,90,114,98,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,80,75,90,217,91,114,97,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,81,75,90,219,91,113,99,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,82,75,93,222,92,112,99,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,83,76,93,231,92,113,99,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,84,76,95,231,92,116,99,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,85,81,92,230,91,116,99,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,86,79,92,233,92,116,99,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,87,79,92,234,94,116,97,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,88,78,92,242,94,117,98,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,89,78,92,246,93,119,98,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,90,78,92,246,93,119,99,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,91,80,93,248,92,119,98,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,92,81,94,253,94,117,99,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,93,81,93,251,94,117,100,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,94,80,95,251,97,115,98,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,95,83,95,256,97,117,99,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,96,83,95,256,97,119,100,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,97,84,94,258,99,120,101,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,98,83,92,259,99,119,99,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,99,82,93,259,99,119,100,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,100,82,92,261,102,120,101,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,101,81,93,260,106,123,97,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,102,82,95,259,108,126,97,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,103,83,94,261,108,126,100,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,104,85,96,264,108,126,101,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,105,88,98,270,108,124,102,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,106,90,97,270,108,125,100,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,107,89,99,272,109,124,100,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,108,91,98,272,111,133,99,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,109,92,98,268,111,135,98,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,110,95,98,264,111,135,97,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,111,95,98,266,107,135,96,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,112,95,98,268,108,136,96,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,113,96,98,268,108,135,97,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,114,97,98,264,110,139,97,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,115,97,99,261,110,141,102,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,116,99,94,263,115,139,105,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,117,103,92,263,115,137,105,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,118,103,95,264,116,137,107,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,119,106,93,261,113,140,107,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,120,107,92,262,112,140,107,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,121,111,93,262,114,138,108,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,122,112,93,263,114,143,109,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,123,113,95,264,115,142,107,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,124,111,96,262,116,144,107,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,125,112,98,265,114,147,106,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,126,115,98,261,115,148,106,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,127,114,98,260,111,148,106,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,128,117,96,259,115,149,106,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,129,117,97,255,113,148,106,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,130,115,98,251,115,146,107,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,131,119,95,254,117,145,103,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,132,121,100,255,118,143,101,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,133,123,101,253,118,143,101,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,134,122,99,253,118,142,104,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,135,121,97,252,118,143,106,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,136,119,99,252,117,137,104,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,137,119,100,255,115,138,103,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,138,114,100,251,117,136,100,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,139,116,101,246,116,135,100,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,140,109,100,235,114,133,98,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,141,108,101,233,114,133,96,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,142,108,104,235,114,134,97,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,143,108,104,235,110,133,94,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,144,107,104,233,109,132,95,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,145,111,106,232,108,129,95,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,146,113,103,225,106,126,96,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,147,112,101,225,103,127,96,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,148,112,99,226,102,124,91,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,149,112,98,231,100,122,93,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,150,112,98,230,101,123,92,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,151,112,98,231,100,127,90,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,152,112,98,231,98,125,86,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,153,112,102,225,98,128,85,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,154,114,102,222,98,128,86,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,155,118,103,221,96,125,85,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,156,117,103,221,95,124,85,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,157,114,105,219,95,126,86,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,158,109,104,214,93,129,86,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,159,109,101,214,93,127,81,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,160,107,100,209,92,126,80,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,161,107,100,212,92,124,79,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,162,107,99,212,92,125,78,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,163,107,99,203,92,122,74,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,164,107,99,198,91,119,71,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,165,106,99,201,89,116,69,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,166,106,96,199,89,115,70,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,167,106,96,198,86,117,70,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,168,105,93,197,85,117,70,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,169,105,93,194,85,118,69,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,170,105,92,191,83,121,69,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,171,106,89,189,83,119,69,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,172,108,88,191,83,119,67,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,173,105,89,189,84,119,64,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,174,104,89,190,84,119,62,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,175,104,89,191,83,118,62,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,176,104,86,187,79,118,63,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,177,101,85,187,81,113,61,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,178,99,82,187,79,112,61,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,179,98,83,191,78,113,61,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,180,99,83,190,78,108,62,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,181,98,81,193,77,108,60,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,182,98,81,190,77,107,58,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,183,97,80,187,79,108,57,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,184,96,80,178,79,107,56,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,185,95,80,177,79,104,58,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,186,90,80,181,78,104,58,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,187,90,84,180,80,105,60,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,188,92,84,178,78,105,60,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,189,92,84,169,79,104,61,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,190,94,84,165,79,102,61,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,191,94,84,166,80,102,60,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,192,92,83,164,81,102,60,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,193,92,82,159,79,105,62,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,194,92,82,159,79,105,61,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,195,92,80,159,76,105,61,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,196,89,79,154,76,103,60,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,197,89,78,154,74,102,59,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,198,88,79,159,72,101,58,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,199,87,81,159,72,101,58,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,200,89,82,159,72,101,59,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,201,88,83,158,69,101,58,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,202,88,85,158,69,98,58,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,203,87,83,157,67,95,56,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,204,86,83,154,70,99,55,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,205,84,82,151,71,99,54,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,206,81,82,145,72,100,53,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,207,79,80,145,75,98,53,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,208,79,77,143,74,99,54,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,209,77,79,144,72,89,54,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,210,76,79,147,72,89,57,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,211,73,78,147,72,89,55,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,212,73,78,145,76,89,55,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,213,73,79,143,75,88,56,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,214,72,79,143,74,88,55,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,215,71,78,147,72,86,55,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,216,71,77,149,69,84,51,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,217,69,78,150,65,84,49,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,218,66,77,147,65,84,49,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,219,66,77,146,65,85,48,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,220,62,77,147,66,82,48,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,221,61,77,144,68,82,48,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,222,59,76,146,68,83,47,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,223,57,77,145,69,78,46,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,224,56,75,143,69,78,46,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,225,56,74,141,68,76,46,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,226,55,72,138,68,73,44,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,227,53,75,138,68,71,44,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,228,53,76,137,67,71,44,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,229,49,76,137,63,68,44,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,230,47,75,140,63,68,44,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,231,48,74,140,66,69,43,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,232,44,74,137,66,66,42,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,233,41,69,137,65,66,43,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,234,40,68,140,65,68,44,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,235,43,67,141,66,68,41,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,236,43,67,143,67,67,39,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,237,45,66,145,67,67,39,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,238,45,65,141,67,66,39,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,239,46,65,143,64,66,39,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,240,46,64,147,64,65,42,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,241,46,64,150,64,67,42,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,242,48,63,149,68,68,43,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,243,46,61,147,68,66,42,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,244,46,62,151,68,69,43,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,245,48,61,151,67,69,43,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,246,45,60,154,68,70,43,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,247,43,62,157,68,70,46,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,248,43,62,154,69,73,46,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,249,44,61,153,69,74,47,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,250,44,62,147,71,75,45,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,251,46,63,146,74,75,47,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,252,46,63,148,80,72,48,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,253,54,66,148,79,73,51,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,254,54,62,149,80,71,54,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,255,52,62,151,80,71,54,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,256,48,67,153,80,71,55,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,257,48,69,151,84,71,55,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,258,50,68,153,84,74,61,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,259,53,70,153,84,76,61,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,260,56,71,157,86,76,63,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,261,59,70,163,88,79,64,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,262,60,70,164,88,82,66,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,263,60,73,166,88,86,67,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,264,61,75,169,91,87,67,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,265,64,74,172,91,86,68,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,266,64,73,180,92,87,68,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,267,66,79,193,92,88,71,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,268,67,82,196,93,89,72,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,269,76,88,199,94,89,77,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,270,76,87,199,94,89,80,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,271,76,89,201,94,85,80,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,272,75,95,201,96,88,84,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,273,73,98,203,96,85,83,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,274,73,96,209,95,88,83,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,275,73,98,208,96,88,82,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,276,73,98,211,93,90,84,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,277,75,98,215,92,90,84,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,278,76,98,214,91,90,85,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,279,79,98,212,93,90,85,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,280,79,98,215,92,94,86,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,281,78,101,215,92,95,87,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,282,79,101,210,93,94,87,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,283,81,101,212,93,95,87,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,284,81,101,214,91,95,88,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,285,81,103,218,93,102,89,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,286,81,101,222,96,102,88,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,287,81,102,224,100,102,88,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,288,84,101,226,98,103,86,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,289,83,103,228,98,105,90,APC:ENST00000457016:ENSE00000972230
